run,eps,tl,tu,post_processing,duration,unique_size,acc_size,hausdorff
3,1.5,0,3,post_centroid,0.09326863288879395,41,859.6011082461961,90.01890294760418
4,1.5,0,3,post_centroid,0.07541227340698242,45,920.56062583613,91.52312742703009
5,1.5,0,3,post_centroid,0.14390206336975098,61,1251.34766844153,94.19689447560536
6,1.5,0,3,post_centroid,0.15951251983642578,37,715.0092884423033,98.33219299573186
7,1.5,0,3,post_centroid,0.1261742115020752,45,946.8136360561322,97.38006606219984
8,1.5,0,3,post_centroid,0.08600926399230957,40,856.6318721269304,93.97549785303325
1,1.5,0,3,post_uniform,0.08084392547607422,60,1179.0737650466851,96.16022166874062
2,1.5,0,3,post_uniform,0.09191465377807617,46,955.3514419722594,104.10588219380722
3,1.5,0,3,post_uniform,0.1301271915435791,41,954.2964028820768,98.0385164709928
4,1.5,0,3,post_uniform,0.08231329917907715,48,1017.5706330847407,99.45569526010429
5,1.5,0,3,post_uniform,0.09895944595336914,85,1682.3026272037673,95.45892389152024
6,1.5,0,3,post_uniform,0.1610398292541504,42,873.170293272859,90.77688607325082
7,1.5,0,3,post_uniform,0.12256407737731934,35,699.1230638621605,92.05659453561785
8,1.5,0,3,post_uniform,0.10332798957824707,49,1003.9827633951154,92.7458829640904
1,1.5,0,4,post_centroid,0.10050511360168457,18,440.2975739484598,132.78865490386676
2,1.5,0,4,post_centroid,0.08133673667907715,23,600.6876825116088,115.88107159945162
3,1.5,0,4,post_centroid,0.15634846687316895,12,330.91368944349097,120.94432832190496
4,1.5,0,4,post_centroid,0.09690213203430176,24,629.4312239394255,133.96796518052219
5,1.5,0,4,post_centroid,0.17661571502685547,31,772.9147711561229,125.96974593457789
6,1.5,0,4,post_centroid,0.14913558959960938,45,1213.8218280654578,115.30211420268185
7,1.5,0,4,post_centroid,0.11331415176391602,29,759.1378932122063,109.69120314764363
8,1.5,0,4,post_centroid,0.1351914405822754,35,921.8230032269922,100.27914400509222
1,1.5,0,4,post_uniform,0.14624595642089844,36,896.2772339569535,114.32066364373036
2,1.5,0,4,post_uniform,0.1106560230255127,23,587.9827557640544,113.5764831914326
3,1.5,0,4,post_uniform,0.10232281684875488,27,652.6137928270906,114.3061317645092
4,1.5,0,4,post_uniform,0.08675622940063477,27,693.0217244488895,112.69431184628593
5,1.5,0,4,post_uniform,0.09152436256408691,14,360.8322945232672,113.55469126079282
6,1.5,0,4,post_uniform,0.14849066734313965,32,806.2394891223717,111.25856922003773
7,1.5,0,4,post_uniform,0.145552396774292,30,758.99987686721,117.92929692577151
8,1.5,0,4,post_uniform,0.122406005859375,24,623.9745217011279,112.05867463940102
1,1.5,0,5,post_centroid,0.11378741264343262,22,634.838678497447,131.4055764258505
2,1.5,0,5,post_centroid,0.07887911796569824,1,27.22837467399561,165.87574715182657
3,1.5,0,5,post_centroid,0.0791313648223877,3,94.13325522988293,160.13894073064034
4,1.5,0,5,post_centroid,0.12065577507019043,23,704.9298491428339,128.89089830837727
5,1.5,0,5,post_centroid,0.17712736129760742,22,618.4495873926927,143.4502731888318
6,1.5,0,5,post_centroid,0.13152527809143066,12,360.2032301627163,128.89089830837727
7,1.5,0,5,post_centroid,0.18330788612365723,3,72.97991923064333,175.88050416939583
8,1.5,0,5,post_centroid,0.15319371223449707,7,211.5550610780799,127.79827225581462
1,1.5,0,5,post_uniform,0.08753490447998047,16,456.6140499375438,119.95945395060996
2,1.5,0,5,post_uniform,0.12711763381958008,8,238.79204420151189,151.9863949872058
